Research Paper	Shawn Bowers, Timothy McPhillips, and Bertram Ludäscher	2018	Validation and Inference of Schema-Level Workflow Data-Dependency Annotations	7th Intl. Provenance and Annotation Workshop (IPAW)	London, UK	7/10/18	https://arxiv.org/abs/1807.09899
Journal	Adam Brinckman, Kyle Chard, Niall Gaffney, Mihael Hategan, Matthew B. Jones, Kacper Kowalik, Sivakumar Kulasekaran, Bertram Ludäscher, Bryce D. Mecum, Jarek Nabrzyski, Victoria Stodden, Ian J. Taylor, Matthew J. Turk, Kandace Turner	2017	Computing environments for reproducibility: Capturing the ‘‘Whole Tale’’	Future Generation Computer Systems		2017	https://doi.org/10.1016/j.future.2017.12.029
Poster	Adam Brinckman, Kyle Chard, Niall Gaffney, Mihael Hategan, Matthew B. Jones, Kacper Kowalik, Sivakumar Kulasekaran, Bertram Ludäscher, Bryce Mecum, Jaroslaw Nabrzyski, Victoria Stodden, Ian Taylor, Matthew Turk, and Kandace Turner	2017	The Whole Tale: Merging Science and Cyberinfrastructure Pathways	Globus World/NDS Workshop	Chicago	2017-04	
Presentation	Kyle Chard	2017	The Whole Tale: Merging Science and Cyberinfrastructure Pathways	National Data Service Workshop	Chicago	2017-04	
Presentation	Kyle Chard	2017	The Whole Tale: Merging Science and Cyberinfrastructure Pathways	Nordic e-Infrastructure conference (NEIC)	Sweden	2017-05	
Presentation	Jarek Nabrzyski	2017	The Whole Tale: Merging Science and Cyberinfrastructure Pathways	PressQT Notre Dame	Notre Dame	5/1/17	
Presentation	Matthew Jones	2018	Provenance tracking and display in DataONE	Earth Data Provenance Workshop	eScience Institute, University of Washington, Seattle, WA	2018-03	https://esipfed.github.io/Earth-Data-Provenance-Workshop/
Presentation	Kacper Kowalik	2018	Sneaking Data into Containers with the Whole Tale	SciPy'18	Austin, TX	2018-07	https://scipy2018.scipy.org/ehome/index.php?eventid=299527&tabid=712461&cid=2233540&sessionid=21615725&sessionchoice=1&
Presentation	Bertram Ludäscher	2017	Workflows, Provenance, & Reproducibility: Telling the Whole Tale behind a Paleoclimate Reconstruction	EarthCube All Hands Meeting	Seattle, WA	6/8/17	https://www.earthcube.org/2017AHMResources
Presentation	Bertram Ludäscher	2017	From Provenance Standards and Tools to Queries and Actionable Provenance	American Geophysical Union, Fall Meeting 2017, abstract #IN42C-02	New Orleans	12/11/17	http://adsabs.harvard.edu/abs/2017AGUFMIN42C..02L
Presentation	Bertram Ludäscher	2018	Whole Tale: The Experience of Research through reproducible, computational narratives	Building a Community to Advance and Sustain Digitized Biocollections (BCoN) meeting	U Kansas	2/13/18	https://www.slideshare.net/ludaesch/wholetale-the-experience-of-research-88002697
Keynote	Niall Gaffney	2018	Improving Research Outcomes, Leveraging Digital Libraries, Advanced Computing and Data	JCDL 2018	Austin, TX	2018-06	
Keynote	Bertram Ludäscher	2018	From Workflows to Provenance and Reproducibility: Looking Back and Forth	7th Intl. Provenance and Annotation Workshop (IPAW)	London, UK	7/9/18	http://provenanceweek2018.org/ipaw/
Presentation	Bertram Ludäscher and Santiago Núñez-Corrales	2018	Dissecting Reproducibility: A case study with ecological niche models in the Whole Tale environment	Hierarchy of Hypotheses Workshop (HoH3)	Hannover, Germany	10/12/18	https://www.slideshare.net/ludaesch/dissecting-reproducibility-a-case-study-with-ecological-niche-models-in-the-whole-tale-environment
Presentation	B Mecum, S Wyngaard, C Willis, M Turk, T Thelen, I Taylor, V Stodden, D Perez, J Nabrzyski, B Ludaescher, S Kulasekaran, K Kowalik, MB Jones, M Hategan, N Gaffney, K Chard, A Brinckman	2018	Science, containerized: Integrating provenance and compute environments with the Whole Tale	American Geophysical Union, Fall Meeting 2018, Washington DC	2017		http://adsabs.harvard.edu/abs/2018AGUFMIN53A..02M
	Bryce Mecum, Matthew Jones, Dave Vieglais and Craig Willis	2018	Preserving Reproducibility: Provenance and Executable Containers in DataONE Data Packages	2018 IEEE 14th International Conference on e-Science (e-Science)			https://doi.org/10.1109/eScience.2018.00019
Presentation	Victoria Stodden	2017	The Role of Cyberinfrastructure in Reproducible Science	Chameleon User Meeting	Argonne National Laboratory	2017	
Presentation	Victoria Stodden	2017	Toward a Reproducible Scholarly Record	Dataverse Community Meeting	Harvard	2017	
Presentation	Victoria Stodden	2017	Implementing Reproducible Computationally-Enabled Science	Institute for Advanced Computational Science	Stony Brook University	2017	
Presentation	Victoria Stodden	2017	Reproducibility in Computationally-Enabled Research: Integrating Tools and Skills	METRICS Seminar	Stanford	2017	
Presentation	Victoria Stodden	2017	Data-Sharing and Reproducibility	National Academy of Sciences	Washington DC	2017	
Presentation	Victoria Stodden	2017	Research Data Management Implementations:Towards the Reproducibility of Science	RDMI Workshop	Arlington, VA	2017	
Presentation	Victoria Stodden	2017	Reproducibility in Computationally-Enabled Research	The Judith Resnik Year of Women in ECE Seminar	Carnegie Mellon	2017	
Presentation	Victoria Stodden	2018	Infrastructure for Enabling Reproducibility in Computational and Data-enabled Science	Biostatistics Seminar Northwestern Preventive Medicine	Chicago, IL	2018-10	https://www.preventivemedicine.northwestern.edu/divisions/biostatistics/seminars.html
Presentation	Victoria Stodden	2018	Open Data, Code, and Computational Reproducibility	CMU Open Science Symposium	Pittsburgh, PA	2018-10	https://events.mcs.cmu.edu/oss2018/
Presentation	Victoria Stodden	2018	Enabling Reproducibility in Computational and Data-enabled Science	Ecole Polytechnique Federale de Lausanne	Lausanne, Switzerland	2018-10	https://memento.epfl.ch/event/enabling-reproducibility-in-computational-and-da-3/
Presentation	Victoria Stodden	2018	Enablilng Reproducibiolity in Computational and Data-enabled Science	Workshop II HPC and Data Science for Scientific Discovery. Part of the Long Program: Science at Extreme Scales: Where Big Data Meetrs Large-Scale Computing	Institute for Pure and Applied Mathematics UCLA	2018-10	https://www.ipam.ucla.edu/programs/workshops/workshop-ii-hpc-and-data-science-for-scientific-discovery/
	Matt Turk, Kacper Kowalik	2018	Sneaking Data into Containers with the Whole Tale	SciPy2018	Austin, Texas		
Presentation	Craig Willis	2018	The Whole Tale: Merging Science and Cyberinfrastructure Pathways	NDS/MBDH Data Science Tools & Methods Workshop	Big Ten Conference Center, Rosemont, IL	2018-07	http://www.nationaldataservice.org/get_involved/events/DataScienceTools/
Panel	Craig Willis, Kacper Kowalik	2018	Container applications in research computing and research data access	PEARC'18	Pittsburgh, PA	2018-07	https://pearc18.conference-program.com/?page_id=10&id=pan109&sess=sess155
Presentation	Craig Willis	2018	The Whole Tale: Merging Science and Cyberinfrastructure Pathways	PresQT 2018	Notre Dame	2018-09	
